user_id,treatment,baseline_utility,health_probability,group_id,randomization_stage,randomization_unit,cluster_robustness_sample,sociability,fear,stress1,stress2,stress3,stress4,life_satisfaction,institute_satisfaction,performance,learning,productivity,supervisor_goals,own_goals
60,FALSE,3.02083,0.994804,44,initial_group,group_039,TRUE,0,1,2,4,4,2,8,7,2,8,2,2,2
61,FALSE,2.27083,0.996492,45,initial_group,group_040,TRUE,50,1,2,4,5,3,8,7,1,10,1,2,2
63,FALSE,3.125,0.994585,47,initial_group,group_041,TRUE,10,3,1,5,5,4,7,1,3,7,3,3,3
64,FALSE,2.39583,0.994804,48,initial_group,group_042,TRUE,90,2,2,4,3,4,8,10,2,7,2,2,2
65,FALSE,2.8125,0.996125,49,initial_group,group_043,TRUE,3,3,3,3,5,5,9,10,2,5,3,3,3
66,FALSE,2.29167,0.996125,51,initial_group,group_045,TRUE,1,2,3,4,4,2,7,8,2,8,2,2,2
67,FALSE,2.11458,0.994365,53,initial_group,group_046,TRUE,0,2,3,2,1,5,5,8,1,7,1,1,3
68,TRUE,2.67708,0.994365,7,initial_group,group_007,TRUE,0,3,1,3,4,1,9,10,1,10,1,1,2
69,TRUE,2.6875,0.994365,7,initial_group,group_007,TRUE,10,1,5,5,4,3,9,10,2,9,2,2,2
70,TRUE,2.77083,0.996125,7,initial_group,group_007,TRUE,50,3,3,4,4,2,8,10,2,10,2,2,2
71,FALSE,2.19792,0.994365,7,initial_group,group_007,FALSE,30,4,2,5,4,2,10,10,1,10,1,1,1
72,FALSE,2.22917,0.994365,8,initial_group,group_008,TRUE,50,2,2,5,5,2,10,10,1,10,1,2,2
73,FALSE,2.77083,0.994365,8,initial_group,group_008,TRUE,20,2,2,5,5,1,10,10,,10,1,1,1
74,FALSE,2.375,0.996492,8,initial_group,group_008,TRUE,50,1,4,5,3,1,8,10,1,8,2,2,2
76,FALSE,2.25,0.996125,8,initial_group,group_008,TRUE,1,2,3,4,4,3,3,10,1,9,2,1,1
78,TRUE,2.69792,0.994365,9,initial_group,group_009,TRUE,10,4,4,5,4,4,4,10,2,8,2,3,4
79,TRUE,1.95833,0.996492,9,initial_group,group_009,TRUE,0,1,1,5,5,1,10,10,1,10,1,1,1
80,TRUE,2.0625,0.994365,9,initial_group,group_009,TRUE,0,1,1,5,5,1,10,10,1,10,1,2,2
81,TRUE,3.1875,0.994365,9,initial_group,group_009,TRUE,1,1,5,3,3,5,5,10,1,8,2,1,2
82,TRUE,1.95833,0.996492,9,initial_group,group_009,TRUE,0,2,2,5,4,2,10,10,1,8,1,1,1
83,TRUE,2.66667,0.994365,9,initial_group,group_009,TRUE,5,5,3,5,4,2,8,8,,,,,
84,TRUE,2.45833,0.996125,9,initial_group,group_009,TRUE,50,1,5,2,3,3,5,10,2,10,2,2,2
85,TRUE,2.5625,0.996125,9,initial_group,group_009,TRUE,40,4,2,5,4,2,9,8,1,9,1,1,1
86,TRUE,2.89583,0.994365,9,initial_group,group_009,TRUE,5,1,1,5,5,1,10,10,1,9,1,1,1
91,TRUE,3.02083,0.996492,10,initial_group,group_010,TRUE,60,3,4,5,4,2,10,10,2,9,2,1,2
93,FALSE,2.35417,0.994804,11,initial_group,group_011,TRUE,0,4,2,1,4,1,8,10,2,8,2,1,2
94,FALSE,2.27083,0.994804,11,initial_group,group_011,TRUE,20,3,2,4,4,2,9,5,3,7,3,2,2
97,FALSE,2.79167,0.994365,11,initial_group,group_011,TRUE,2,2,3,4,4,1,9,9,3,8,3,2,2
100,FALSE,2.5625,0.994804,11,initial_group,group_011,TRUE,50,2,2,5,5,1,7,10,2,10,2,2,2
103,FALSE,2.79167,0.994804,11,initial_group,group_011,TRUE,0,1,1,5,5,5,8,9,3,8,3,1,1
104,TRUE,2.55208,0.994365,6,initial_group,group_006,TRUE,0,1,1,5,5,1,10,1,3,10,3,2,3
106,TRUE,2.89583,0.994365,6,initial_group,group_006,TRUE,6,2,2,4,5,2,8,10,1,8,1,2,2
107,TRUE,3.3125,0.994804,6,initial_group,group_006,TRUE,40,2,3,4,4,4,8,5,2,8,2,4,2
108,TRUE,2.80208,0.996125,6,initial_group,group_006,TRUE,3,4,3,3,4,2,8,8,3,9,2,2,2
109,TRUE,3,0.996492,6,initial_group,group_006,TRUE,4,1,1,1,1,1,10,8,3,9,2,2,2
111,TRUE,3.52083,0.994804,6,initial_group,group_006,TRUE,90,4,1,1,1,1,9,10,1,10,1,3,2
112,TRUE,2.83333,0.994804,6,initial_group,group_006,TRUE,50,3,3,5,4,1,4,10,1,7,1,2,2
113,TRUE,3.375,0.994804,6,initial_group,group_006,TRUE,50,3,4,4,3,4,7,3,2,5,3,5,3
114,TRUE,2.83333,0.994804,6,initial_group,group_006,TRUE,4,5,5,4,4,4,8,10,1,9,1,3,2
116,TRUE,2.66667,0.996492,6,initial_group,group_006,TRUE,100,2,2,4,4,3,4,8,2,6,2,2,2
117,TRUE,2.49306,0.996125,6,initial_group,group_006,TRUE,100,1,3,4,5,2,10,8,2,10,3,1,1
118,TRUE,2.85417,0.994804,6,initial_group,group_006,TRUE,0,1,2,5,5,2,10,8,1,9,2,1,1
119,TRUE,3.45833,0.996492,6,initial_group,group_006,TRUE,5,1,3,3,4,2,6,4,3,6,3,3,3
120,TRUE,3.22917,0.996492,6,initial_group,group_006,TRUE,20,4,4,3,2,3,6,7,3,6,3,4,5
121,TRUE,2.6875,0.996125,6,initial_group,group_006,TRUE,5,4,2,2,2,2,8,5,3,5,3,1,1
122,TRUE,2.72917,0.996492,6,initial_group,group_006,TRUE,40,2,2,4,3,2,7,9,2,9,2,2,2
123,TRUE,2.41667,0.994365,6,initial_group,group_006,TRUE,60,4,4,3,4,4,4,8,2,9,2,2,2
125,TRUE,3.22917,0.994804,6,initial_group,group_006,TRUE,20,2,3,3,4,2,8,3,4,5,3,3,3
127,TRUE,2.8125,0.994365,6,initial_group,group_006,TRUE,65,3,3,5,2,2,5,10,3,7,3,3,3
130,FALSE,2.39583,0.994804,4,initial_group,group_004,TRUE,10,3,2,5,5,2,10,10,2,9,2,1,1
131,FALSE,2.29167,0.994365,4,initial_group,group_004,TRUE,70,3,1,4,2,1,10,10,2,9,1,2,2
132,FALSE,2.9375,0.996125,4,initial_group,group_004,TRUE,0,3,4,5,5,5,6,10,1,9,2,2,2
133,FALSE,2.58333,0.996125,4,initial_group,group_004,TRUE,15,4,5,5,5,2,8,10,1,9,2,3,3
134,TRUE,2.4375,0.994365,3,initial_group,group_003,TRUE,2,4,1,1,2,3,10,10,1,10,1,3,3
135,TRUE,2.66667,0.996125,3,initial_group,group_003,TRUE,20,3,2,2,2,3,5,8,2,9,3,3,1
137,TRUE,2.625,0.994365,3,initial_group,group_003,TRUE,2,3,2,1,4,1,5,10,1,10,1,2,2
138,TRUE,2.52083,0.996125,3,initial_group,group_003,TRUE,4,2,1,3,3,4,10,10,2,10,2,2,1
139,TRUE,3.29167,0.994804,3,initial_group,group_003,TRUE,100,4,4,4,4,4,5,4,3,10,3,3,3
140,TRUE,2.58333,0.996125,3,initial_group,group_003,TRUE,1,4,1,5,5,2,9,10,1,10,2,2,2
144,FALSE,2.02083,0.994804,5,initial_group,group_005,TRUE,5,3,1,5,5,1,10,10,2,10,2,1,1
145,TRUE,2.4375,0.994804,2,initial_group,group_002,TRUE,4,3,1,5,4,3,8,10,3,7,3,2,4
146,TRUE,3.22917,0.996125,2,initial_group,group_002,TRUE,10,4,3,3,3,4,8,10,4,9,3,4,4
147,TRUE,2.52083,0.994365,2,initial_group,group_002,TRUE,3,4,3,3,4,4,8,9,4,6,4,4,5
148,TRUE,2.84375,0.994365,2,initial_group,group_002,TRUE,0,2,4,5,4,2,7,9,2,9,2,3,3
149,TRUE,2.70833,0.996125,1,initial_group,group_001,TRUE,70,4,4,3,3,4,7,8,2,9,3,3,3
150,TRUE,2.25,0.996125,1,initial_group,group_001,TRUE,50,2,3,3,2,1,8,8,3,7,3,3,3
151,TRUE,3.125,0.996492,1,initial_group,group_001,TRUE,20,1,2,4,4,1,9,7,3,8,3,3,3
152,TRUE,2.29167,0.994365,1,initial_group,group_001,TRUE,10,4,3,4,4,2,9,3,3,8,3,3,3
153,TRUE,2.4375,0.994365,1,initial_group,group_001,TRUE,3,2,2,5,5,1,9,9,2,9,2,2,2
155,FALSE,3.22917,0.996492,50,initial_group,group_044,TRUE,30,3,4,4,3,3,2,10,1,7,2,2,3
156,FALSE,2.8125,0.994804,54,initial_group,group_047,TRUE,20,2,3,4,4,3,5,4,2,9,2,3,4
157,FALSE,2.72917,0.994804,55,initial_group,group_048,TRUE,0,2,2,4,4,2,8,10,1,9,2,2,2
160,TRUE,3.0625,0.996125,13,initial_group,group_013,TRUE,2,5,3,3,4,2,7,6,2,7,3,2,2
162,FALSE,2.59375,0.994804,1,later_individual,individual_001,FALSE,1,1,2,5,5,1,3,3,2,2,2,3,3
164,FALSE,2.64583,0.994365,3,later_individual,individual_003,FALSE,25,2,2,2,3,2,9,9,2,7,2,2,2
165,TRUE,2.85417,0.996125,4,later_individual,individual_004,FALSE,2,,3,2,2,2,7,7,2,8,2,3,3
167,FALSE,2.95833,0.994365,6,later_individual,individual_005,FALSE,5,4,3,4,3,3,9,8,3,8,3,3,3
168,TRUE,2.95833,0.994365,7,later_individual,individual_006,FALSE,2,2,3,4,3,1,1,8,3,10,3,4,4
169,FALSE,2.625,0.996125,8,later_individual,individual_007,FALSE,70,4,4,4,3,2,7,6,3,8,3,2,2
170,TRUE,2.8125,0.996492,9,later_individual,individual_008,FALSE,20,3,4,4,4,2,8,8,2,9,2,2,2
172,FALSE,2.5,0.996492,11,later_individual,individual_010,FALSE,35,4,3,3,3,3,8,8,2,8,2,2,
173,TRUE,2.1875,0.994804,12,later_individual,individual_011,FALSE,5,4,1,5,5,2,10,10,1,10,1,2,2
174,TRUE,3.04167,0.994804,14,later_individual,individual_012,FALSE,70,4,3,3,3,3,9,4,2,8,2,3,2
175,FALSE,2.47917,0.994365,15,later_individual,individual_013,FALSE,25,3,1,5,5,1,10,10,1,9,1,2,2
176,TRUE,2.8125,0.994804,16,later_individual,individual_014,FALSE,0,3,3,4,4,3,8,8,2,8,2,3,3
177,FALSE,2.64583,0.994365,17,later_individual,individual_015,FALSE,2,3,3,4,4,2,7,5,2,9,2,3,3
179,FALSE,2.39583,0.996309,19,later_individual,individual_017,FALSE,2,1,1,1,3,5,7,7,2,10,3,4,4
180,TRUE,,,57,later_individual,individual_018,FALSE,10,3,4,3,3,3,8,8,3,8,3,3,4
181,TRUE,2.1875,0.994365,5,later_individual,individual_019,FALSE,50,2,5,4,4,1,9,7,2,9,2,2,2
